title,audience_certified,audience_score,audience_sentiment,critics_certified,critics_score,critics_sentiment
HIM,false,58%,negative,false,32%,negative
The Conjuring: Last Rites,false,78%,positive,false,59%,negative
Downton Abbey: The Grand Finale,true,96%,positive,true,92%,positive
The Long Walk,false,85%,positive,true,88%,positive
A Big Bold Beautiful Journey,false,59%,negative,false,37%,negative
Toy Story,false,92%,positive,true,100%,positive
Weapons,true,85%,positive,true,94%,positive
Freakier Friday,true,92%,positive,true,74%,positive
The Bad Guys 2,true,94%,positive,true,88%,positive
Hamilton,true,99%,positive,true,98%,positive
Apollo 13,false,87%,positive,true,94%,positive
The Fantastic Four: First Steps,true,91%,positive,true,87%,positive
Caught Stealing,false,83%,positive,true,84%,positive
The History of Sound,false,89%,positive,false,69%,positive
The Roses,false,79%,positive,false,65%,positive
Jurassic World Rebirth,false,71%,positive,false,50%,negative
Superman,true,90%,positive,true,83%,positive
The Baltimorons,false,83%,positive,true,92%,positive
F1 The Movie,true,97%,positive,true,82%,positive
Twinless,false,95%,positive,true,97%,positive
Lilo & Stitch,true,92%,positive,false,72%,positive
Splitsville,false,85%,positive,true,85%,positive
Riefenstahl,,,,true,97%,positive
Yi Yi,false,91%,positive,true,97%,positive
Plainclothes,,,,true,86%,positive
The Summer Book,,,,false,81%,positive
A Little Prayer,false,93%,positive,true,93%,positive
In the Mood for Love,false,94%,positive,true,92%,positive
