index,card_id,card_name,set_id,set_name,card_number,binder_name,page_number,slot_number,card_market_value
2-1-1,base4-1,Alakazam,base4,base4,1,2,1,1,0.0
2-1-2,base4-2,Blastoise,base4,base4,2,2,1,2,0.0
2-1-3,base4-3,Chansey,base4,base4,3,2,1,3,0.0
2-1-4,base4-4,Charizard,base4,base4,4,2,1,4,0.0
2-1-5,base4-5,Clefable,base4,base4,5,2,1,5,0.0
2-1-6,base4-6,Clefairy,base4,base4,6,2,1,6,0.0
2-1-7,base4-7,Gyarados,base4,base4,7,2,1,7,0.0
2-1-8,base4-8,Hitmonchan,base4,base4,8,2,1,8,0.0
2-1-9,base4-9,Magneton,base4,base4,9,2,1,9,0.0
2-2-1,base4-10,Mewtwo,base4,base4,10,2,2,1,0.0
2-2-2,base4-11,Nidoking,base4,base4,11,2,2,2,0.0
2-2-3,base4-12,Nidoqueen,base4,base4,12,2,2,3,0.0
2-2-4,base4-13,Ninetales,base4,base4,13,2,2,4,0.0
2-2-5,base4-14,Pidgeot,base4,base4,14,2,2,5,0.0
2-2-6,base4-15,Poliwrath,base4,base4,15,2,2,6,0.0
2-2-7,base4-16,Raichu,base4,base4,16,2,2,7,0.0
2-2-8,base4-17,Scyther,base4,base4,17,2,2,8,0.0
2-2-9,base4-18,Venusaur,base4,base4,18,2,2,9,0.0
2-3-1,base4-19,Wigglytuff,base4,base4,19,2,3,1,0.0
2-3-2,base4-20,Zapdos,base4,base4,20,2,3,2,0.0
2-3-3,base4-21,Beedrill,base4,base4,21,2,3,3,0.0
2-3-4,base4-22,Dragonair,base4,base4,22,2,3,4,0.0
2-3-5,base4-23,Dugtrio,base4,base4,23,2,3,5,0.0
2-3-6,base4-24,Electabuzz,base4,base4,24,2,3,6,0.0
2-3-7,base4-25,Electrode,base4,base4,25,2,3,7,0.0
2-3-8,base4-26,Kangaskhan,base4,base4,26,2,3,8,0.0
2-3-9,base4-27,Mr. Mime,base4,base4,27,2,3,9,0.0
2-4-1,base4-28,Pidgeotto,base4,base4,28,2,4,1,0.0
2-4-2,base4-29,Pinsir,base4,base4,29,2,4,2,0.0
2-4-3,base4-30,Snorlax,base4,base4,30,2,4,3,0.0
2-4-4,base4-31,Venomoth,base4,base4,31,2,4,4,0.0
2-4-5,base4-32,Victreebel,base4,base4,32,2,4,5,0.0
2-4-6,base4-33,Arcanine,base4,base4,33,2,4,6,0.0
2-4-7,base4-34,Butterfree,base4,base4,34,2,4,7,0.0
2-4-8,base4-35,Charmeleon,base4,base4,35,2,4,8,0.0
2-4-9,base4-36,Dewgong,base4,base4,36,2,4,9,0.0
2-5-1,base4-37,Dodrio,base4,base4,37,2,5,1,0.0
